Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
3476par23_S110_L003_R2_001_fastq_gz	3476par23_S110_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	834433.0	123.1 Mbp	0.0	35-150	51.0	9.165385357482267	147.22419535181373	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3476par23_S110_L004_R1_001_fastq_gz	3476par23_S110_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	771209.0	113.8 Mbp	0.0	35-150	51.0	7.026759283151519	147.18164466441652	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3476par23_S110_L004_R2_001_fastq_gz	3476par23_S110_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	771209.0	113.8 Mbp	0.0	35-150	51.0	9.651469316359119	147.2344708114143	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3477par23_S111_L001_R1_001_fastq_gz	3477par23_S111_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	34039.0	4.1 Mbp	0.0	35-150	51.0	24.09295220188607	120.30162460706836	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3477par23_S111_L001_R2_001_fastq_gz	3477par23_S111_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	34039.0	4.1 Mbp	0.0	35-150	51.0	27.348041951878727	121.16290137783132	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3477par23_S111_L002_R1_001_fastq_gz	3477par23_S111_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	31775.0	3.8 Mbp	0.0	35-150	51.0	24.69236821400472	120.53246262785208	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
3477par23_S111_L002_R2_001_fastq_gz	3477par23_S111_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	31775.0	3.8 Mbp	0.0	35-150	51.0	27.531077891424076	121.42590086546026	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3477par23_S111_L003_R1_001_fastq_gz	3477par23_S111_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	35579.0	4.2 Mbp	0.0	35-150	51.0	24.059136007195256	120.5966721942719	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3477par23_S111_L003_R2_001_fastq_gz	3477par23_S111_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	35579.0	4.3 Mbp	0.0	35-150	51.0	26.60277129767559	121.33174063351977	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
3477par23_S111_L004_R1_001_fastq_gz	3477par23_S111_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	32482.0	3.8 Mbp	0.0	35-150	51.0	24.388892309586847	119.78298750076965	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
3477par23_S111_L004_R2_001_fastq_gz	3477par23_S111_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	32482.0	3.9 Mbp	0.0	35-150	51.0	26.968782710424232	120.70596022412413	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3478par23_S112_L001_R1_001_fastq_gz	3478par23_S112_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	512702.0	70.7 Mbp	0.0	35-150	51.0	10.525412422810913	137.7144345058143	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3478par23_S112_L001_R2_001_fastq_gz	3478par23_S112_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	512702.0	70.9 Mbp	0.0	35-150	51.0	13.36916961509805	138.02548263903788	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3478par23_S112_L002_R1_001_fastq_gz	3478par23_S112_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	479039.0	66.1 Mbp	0.0	35-150	51.0	10.748394180849576	137.84971996017026	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3478par23_S112_L002_R2_001_fastq_gz	3478par23_S112_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	479039.0	66.3 Mbp	0.0	35-150	51.0	13.622272925586435	138.16413277415828	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3478par23_S112_L003_R1_001_fastq_gz	3478par23_S112_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	530276.0	73.3 Mbp	0.0	35-150	51.0	10.44456094562077	137.94626006079852	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3478par23_S112_L003_R2_001_fastq_gz	3478par23_S112_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	530276.0	73.4 Mbp	0.0	35-150	51.0	12.937225143133011	138.18626149401445	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3478par23_S112_L004_R1_001_fastq_gz	3478par23_S112_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	493692.0	68.1 Mbp	0.0	35-150	51.0	10.64590878523452	137.70628651061796	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3478par23_S112_L004_R2_001_fastq_gz	3478par23_S112_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	493692.0	68.2 Mbp	0.0	35-150	51.0	13.536172350372297	137.99694141286471	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
3479par23_S113_L001_R1_001_fastq_gz	3479par23_S113_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	625353.0	92.6 Mbp	0.0	35-150	50.0	7.794317769323886	147.77147307200892	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3479par23_S113_L001_R2_001_fastq_gz	3479par23_S113_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	625353.0	92.6 Mbp	0.0	35-150	50.0	10.724342891135088	147.79548031271938	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3479par23_S113_L002_R1_001_fastq_gz	3479par23_S113_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	587971.0	87.1 Mbp	0.0	35-150	50.0	7.95634478571222	147.7887650921559	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3479par23_S113_L002_R2_001_fastq_gz	3479par23_S113_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	587971.0	87.1 Mbp	0.0	35-150	50.0	11.067382574990942	147.85169166506512	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3479par23_S113_L003_R1_001_fastq_gz	3479par23_S113_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	648820.0	96.1 Mbp	0.0	35-150	50.0	7.689035479794088	147.79414937887242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3479par23_S113_L003_R2_001_fastq_gz	3479par23_S113_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	648820.0	96.1 Mbp	0.0	35-150	50.0	10.453900927838228	147.81674886717425	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3479par23_S113_L004_R1_001_fastq_gz	3479par23_S113_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	600328.0	88.9 Mbp	0.0	35-150	50.0	7.82788742154289	147.77245106008715	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3479par23_S113_L004_R2_001_fastq_gz	3479par23_S113_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	600328.0	88.9 Mbp	0.0	35-150	50.0	10.98832638157807	147.82044982076465	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3480par23_S114_L001_R1_001_fastq_gz	3480par23_S114_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	199980.0	25.4 Mbp	0.0	35-150	48.0	13.142814281428143	127.30350535053505	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3480par23_S114_L001_R2_001_fastq_gz	3480par23_S114_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	199980.0	25.6 Mbp	0.0	35-150	48.0	16.212621262126213	127.88377337733773	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3480par23_S114_L002_R1_001_fastq_gz	3480par23_S114_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	187763.0	23.9 Mbp	0.0	35-150	48.0	13.350340588933923	127.46582127469203	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3480par23_S114_L002_R2_001_fastq_gz	3480par23_S114_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	187763.0	24 Mbp	0.0	35-150	48.0	16.35892055410278	128.07924884029336	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3480par23_S114_L003_R1_001_fastq_gz	3480par23_S114_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	206098.0	26.2 Mbp	0.0	35-150	48.0	13.198575434987239	127.40293937835399	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3480par23_S114_L003_R2_001_fastq_gz	3480par23_S114_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	206098.0	26.3 Mbp	0.0	35-150	48.0	15.710487243932498	127.86090597676834	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3480par23_S114_L004_R1_001_fastq_gz	3480par23_S114_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	194726.0	24.8 Mbp	0.0	35-150	48.0	13.27814467508191	127.1580939371219	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3480par23_S114_L004_R2_001_fastq_gz	3480par23_S114_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	194726.0	24.9 Mbp	0.0	35-150	48.0	16.247445128026047	127.7573410843955	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3514par23_S115_L001_R1_001_fastq_gz	3514par23_S115_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	615945.0	90.6 Mbp	0.0	35-150	53.0	7.786896557322488	146.88271030692675	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3514par23_S115_L001_R2_001_fastq_gz	3514par23_S115_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	615945.0	90.7 Mbp	0.0	35-150	53.0	10.414079179147489	146.9376778770832	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3514par23_S115_L002_R1_001_fastq_gz	3514par23_S115_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	584889.0	86.1 Mbp	0.0	35-150	53.0	7.903550930176495	146.91581992480624	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3514par23_S115_L002_R2_001_fastq_gz	3514par23_S115_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	584889.0	86.1 Mbp	0.0	35-150	53.0	10.62560588419341	146.99272682508987	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3514par23_S115_L003_R1_001_fastq_gz	3514par23_S115_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	641535.0	94.5 Mbp	0.0	35-150	53.0	7.681887971817594	146.93670961054346	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3514par23_S115_L003_R2_001_fastq_gz	3514par23_S115_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	641535.0	94.5 Mbp	0.0	35-150	53.0	9.977475897651725	146.97831139376652	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3514par23_S115_L004_R1_001_fastq_gz	3514par23_S115_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	599116.0	88.2 Mbp	0.0	35-150	53.0	7.808504530007545	146.89734876050716	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3514par23_S115_L004_R2_001_fastq_gz	3514par23_S115_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	599116.0	88.2 Mbp	0.0	35-150	53.0	10.560058486169623	146.96458448781203	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3515par23_S116_L001_R1_001_fastq_gz	3515par23_S116_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	155287.0	22.3 Mbp	0.0	35-150	55.0	10.883074565159994	143.79267420968915	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3515par23_S116_L001_R2_001_fastq_gz	3515par23_S116_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	155287.0	22.4 Mbp	0.0	35-150	54.0	13.561341258444044	143.94394250645578	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3515par23_S116_L002_R1_001_fastq_gz	3515par23_S116_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	146574.0	21.1 Mbp	0.0	35-150	55.0	11.076316399907213	143.85283883908468	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3515par23_S116_L002_R2_001_fastq_gz	3515par23_S116_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	146574.0	21.1 Mbp	0.0	35-150	55.0	13.782116882939677	144.00921718722284	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3515par23_S116_L003_R1_001_fastq_gz	3515par23_S116_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	162080.0	23.3 Mbp	0.0	35-150	55.0	10.631786771964462	143.80776776900296	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3515par23_S116_L003_R2_001_fastq_gz	3515par23_S116_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	162080.0	23.3 Mbp	0.0	35-150	55.0	13.13919052319842	143.92150789733466	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3515par23_S116_L004_R1_001_fastq_gz	3515par23_S116_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	150647.0	21.7 Mbp	0.0	35-150	55.0	10.948774286909133	143.74297529987322	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3515par23_S116_L004_R2_001_fastq_gz	3515par23_S116_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	150647.0	21.7 Mbp	0.0	35-150	54.0	13.852914429095833	143.87859034697007	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3516par23_S117_L001_R1_001_fastq_gz	3516par23_S117_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	526881.0	77.3 Mbp	0.0	35-150	53.0	8.29750930475762	146.5274094150292	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3516par23_S117_L001_R2_001_fastq_gz	3516par23_S117_L001_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	526881.0	77.4 Mbp	0.0	35-150	52.0	10.881394470478153	146.57717966675588	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3516par23_S117_L002_R1_001_fastq_gz	3516par23_S117_L002_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	493411.0	72.4 Mbp	0.0	35-150	53.0	8.424011625196844	146.53678981619785	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3516par23_S117_L002_R2_001_fastq_gz	3516par23_S117_L002_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	493411.0	72.5 Mbp	0.0	35-150	53.0	11.11608780509555	146.6210258790339	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3516par23_S117_L003_R1_001_fastq_gz	3516par23_S117_L003_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	547981.0	80.5 Mbp	0.0	35-150	53.0	8.142070619236797	146.5907887317261	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3516par23_S117_L003_R2_001_fastq_gz	3516par23_S117_L003_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	547981.0	80.5 Mbp	0.0	35-150	53.0	10.541423881484942	146.6416463344532	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3516par23_S117_L004_R1_001_fastq_gz	3516par23_S117_L004_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	504214.0	74 Mbp	0.0	35-150	53.0	8.294097347554807	146.50830203048704	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3516par23_S117_L004_R2_001_fastq_gz	3516par23_S117_L004_R2_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	504214.0	74 Mbp	0.0	35-150	53.0	11.053441594243713	146.57834966898974	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
3517par23_S118_L001_R1_001_fastq_gz	3517par23_S118_L001_R1_001_fastq_gz.gz	Conventional base calls	Sanger / Illumina 1.9	280761.0	40.7 Mbp	0.0	35-150	55.0	8.787901453549459	144.77784307649566	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
